"CO_MUN6","nome_curso_clean","cbo_4dig","E_mun_cbo","LQ","cbo_familia","IDX_EIXCUR","Eixo Tecnológico","Área Tecnológica","Denominação do Curso","QT_MAT_CURSO_TEC_FED","QT_MAT_CURSO_TEC_EST","QT_MAT_CURSO_TEC_MUN","QT_MAT_CURSO_TEC_PRI","QT_MAT_CURSO_TEC_TOT"
110001,"Comércio Exterior","5211",569,1.57128839752205,"Operadores do comércio em lojas e mercados","04003","Gestão e Negócios","Comercial","Técnico em Comércio Exterior",0,0,0,0,0
110001,"Construção Naval","6231",174,17.3024870978333,"Trabalhadores na pecuária de animais de grande porte","10008","Produção Industrial","Manufatura","Técnico em Construção Naval",0,0,0,0,0
110001,"Cooperativismo","4211",190,2.04979210640266,"Caixas e bilheteiros (exceto caixa de banco)","04006","Gestão e Negócios","Gerencial","Técnico em Cooperativismo",0,0,0,0,0
110001,"Cooperativismo","5211",569,1.57128839752205,"Operadores do comércio em lojas e mercados","04006","Gestão e Negócios","Gerencial","Técnico em Cooperativismo",0,0,0,0,0
110001,"Defesa Civil","4211",190,2.04979210640266,"Caixas e bilheteiros (exceto caixa de banco)","12001","Segurança","Este Eixo Tecnológico não possui divisão em Áreas Tecnológicas.","Técnico em Defesa Civil",0,0,0,0,0
110001,"Estética","5211",569,1.57128839752205,"Operadores do comércio em lojas e mercados","01009","Ambiente e Saúde","Gestão e Promoção da Saúde e Bem-Estar","Técnico em Estética",0,0,0,0,0
110001,"Geodésia e Cartografia","4211",190,2.04979210640266,"Caixas e bilheteiros (exceto caixa de banco)","06007","Infraestrutura","Mensuração Espacial e Volumétrica","Técnico em Geodésia e Cartografia",0,0,0,0,0
110001,"Prótese Dentária","6231",174,17.3024870978333,"Trabalhadores na pecuária de animais de grande porte","01026","Ambiente e Saúde","Gestão e Promoção da Saúde e Bem-Estar","Técnico em Prótese Dentária",0,0,0,0,0
110002,"Administração","1421",298,1.42745169823085,"Gerentes administrativos, financeiros, de riscos e afins","04001","Gestão e Negócios","Gerencial","Técnico em Administração",0,0,0,49,49
110002,"Administração","4122",310,7.66302194084442,"Contínuos","04001","Gestão e Negócios","Gerencial","Técnico em Administração",0,0,0,49,49
110002,"Administração","5141",609,4.41866128670413,"Trabalhadores nos serviços de administração de edifícios","04001","Gestão e Negócios","Gerencial","Técnico em Administração",0,0,0,49,49
110002,"Agrimensura","7151",183,1.93261795582203,"Trabalhadores na operação de máquinas de terraplenagem e fundações","06002","Infraestrutura","Mensuração Espacial e Volumétrica","Técnico em Agrimensura",0,0,0,0,0
110002,"Agrimensura","7825",802,1.33104820655532,"Motoristas de veículos de cargas em geral","06002","Infraestrutura","Mensuração Espacial e Volumétrica","Técnico em Agrimensura",0,0,0,0,0
110002,"Alimentação Escolar","2523",164,2.86564358884331,"Secretárias(os) executivas(os) e afins","03001","Desenvolvimento Educacional e Social","Gestão Educacional","Técnico em Alimentação Escolar",0,0,0,0,0
110002,"Arquivo","4122",310,7.66302194084442,"Contínuos","03002","Desenvolvimento Educacional e Social","Gestão Educacional","Técnico em Arquivo",0,0,0,0,0
110002,"Arquivo","4132",199,1.45782875533316,"Escriturários de serviços bancários","03002","Desenvolvimento Educacional e Social","Gestão Educacional","Técnico em Arquivo",0,0,0,0,0
110002,"Artes Circenses","8483",124,1.32272014062495,"Padeiros, confeiteiros e afins","09001","Produção Cultural e Design","Manifestações Artísticas","Técnico em Artes Circenses",0,0,0,0,0
110002,"Artesanato","8483",124,1.32272014062495,"Padeiros, confeiteiros e afins","09003","Produção Cultural e Design","Manifestações Artísticas","Técnico em Artesanato",0,0,0,0,0
