"SG_UF","nome_curso_clean","cbo_4dig","E_uf_cbo","LQ","cbo_familia","IDX_EIXCUR","Eixo Tecnológico","Área Tecnológica","Denominação do Curso","QT_MAT_CURSO_TEC_EST","QT_MAT_CURSO_TEC_FED","QT_MAT_CURSO_TEC_MUN","QT_MAT_CURSO_TEC_PRI","QT_MAT_CURSO_TEC_TOT"
"AC","Administração","1421",1596,1.50592052649762,"Gerentes administrativos, financeiros, de riscos e afins","04001","Gestão e Negócios","Gerencial","Técnico em Administração",2448,3370,0,2282,8100
"AC","Comércio","1421",1596,1.50592052649762,"Gerentes administrativos, financeiros, de riscos e afins","04002","Gestão e Negócios","Comercial","Técnico em Comércio",155,0,0,0,155
"AC","Finanças","1421",1596,1.50592052649762,"Gerentes administrativos, financeiros, de riscos e afins","04007","Gestão e Negócios","Operações Financeiras","Técnico em Finanças",91,817,0,0,908
"AC","Marketing","1421",1596,1.50592052649762,"Gerentes administrativos, financeiros, de riscos e afins","04009","Gestão e Negócios","Comercial","Técnico em Marketing",52,0,0,48,100
"AM","Administração","3542",1372,1.01772862448665,"Compradores","04001","Gestão e Negócios","Gerencial","Técnico em Administração",9141,24970,0,5859,39970
"AM","Administração","4102",1797,1.20832481339057,"Supervisores de serviços financeiros, de câmbio e de controle","04001","Gestão e Negócios","Gerencial","Técnico em Administração",9141,24970,0,5859,39970
"AM","Agenciamento de Viagem","3412",826,10.5722602260615,"Técnicos marítimos, fluviários e pescadores de convés","13001","Turismo, Hospitalidade e Lazer","Atividades Turísticas","Técnico em Agenciamento de Viagem",0,52,0,39,91
"AM","Agente Comunitário de Saúde","3516",1643,1.063082462092,"Técnicos em segurança do trabalho","01001","Ambiente e Saúde","Gestão e Promoção da Saúde e Bem-Estar","Técnico em Agente Comunitário de Saúde",7068,1374,0,0,8442
"AM","Agrimensura","3423",697,1.10171169256759,"Técnicos em transportes rodoviários","06002","Infraestrutura","Mensuração Espacial e Volumétrica","Técnico em Agrimensura",560,0,0,0,560
"AM","Agrimensura","3513",593,1.91810522284459,"Técnicos em administração","06002","Infraestrutura","Mensuração Espacial e Volumétrica","Técnico em Agrimensura",560,0,0,0,560
"AM","Agronegócio","3516",1643,1.063082462092,"Técnicos em segurança do trabalho","11003","Recursos Naturais","Produção Agrícola e Pecuária","Técnico em Agronegócio",406,277,0,0,683
"AM","Alimentação Escolar","2523",2361,1.60537927291076,"Secretárias(os) executivas(os) e afins","03001","Desenvolvimento Educacional e Social","Gestão Educacional","Técnico em Alimentação Escolar",0,99,0,0,99
"AM","Alimentação Escolar","3312",673,1.02551468100602,"Professores de nível médio no ensino fundamental","03001","Desenvolvimento Educacional e Social","Gestão Educacional","Técnico em Alimentação Escolar",0,99,0,0,99
"AM","Análises Clínicas","3242",932,1.62088572286998,"Técnicos de laboratórios de saúde e bancos de sangue","01002","Ambiente e Saúde","Gestão e Promoção da Saúde e Bem-Estar","Técnico em Análises Clínicas",NA,NA,NA,NA,NA
"AM","Arquivo","3312",673,1.02551468100602,"Professores de nível médio no ensino fundamental","03002","Desenvolvimento Educacional e Social","Gestão Educacional","Técnico em Arquivo",0,0,0,0,0
"AM","Artes Circenses","3412",826,10.5722602260615,"Técnicos marítimos, fluviários e pescadores de convés","09001","Produção Cultural e Design","Manifestações Artísticas","Técnico em Artes Circenses",0,0,0,0,0
"AM","Artes Visuais","3114",791,9.67092621949377,"Técnicos em fabricação de produtos plásticos e de borracha","09002","Produção Cultural e Design","Manifestações Artísticas","Técnico em Artes Visuais",0,0,25,0,25
"AM","Artesanato","3911",3381,1.30013331536889,"Planejadores, programadores e controladores de produção e manutenção","09003","Produção Cultural e Design","Manifestações Artísticas","Técnico em Artesanato",0,0,48,104,152
"AM","Automação Industrial","3114",791,9.67092621949377,"Técnicos em fabricação de produtos plásticos e de borracha","02001","Controle e Processos Industriais","Eletrônica e Automação","Técnico em Automação Industrial",572,1131,0,4809,6512
"AM","Automação Industrial","3131",2028,1.38867661239271,"Técnicos em eletricidade e eletrotécnica","02001","Controle e Processos Industriais","Eletrônica e Automação","Técnico em Automação Industrial",572,1131,0,4809,6512
"AM","Automação Industrial","3144",927,1.64742896321203,"Técnicos mecânicos na manutenção de máquinas, sistemas e instrumentos","02001","Controle e Processos Industriais","Eletrônica e Automação","Técnico em Automação Industrial",572,1131,0,4809,6512
"AM","Automação Industrial","3425",739,1.85488568740184,"Técnicos em transportes aéreos","02001","Controle e Processos Industriais","Eletrônica e Automação","Técnico em Automação Industrial",572,1131,0,4809,6512
"AM","Automação Industrial","3911",3381,1.30013331536889,"Planejadores, programadores e controladores de produção e manutenção","02001","Controle e Processos Industriais","Eletrônica e Automação","Técnico em Automação Industrial",572,1131,0,4809,6512
"AM","Biblioteconomia","2523",2361,1.60537927291076,"Secretárias(os) executivas(os) e afins","03003","Desenvolvimento Educacional e Social","Gestão Educacional","Técnico em Biblioteconomia",0,78,0,0,78
"AM","Biblioteconomia","3312",673,1.02551468100602,"Professores de nível médio no ensino fundamental","03003","Desenvolvimento Educacional e Social","Gestão Educacional","Técnico em Biblioteconomia",0,78,0,0,78
