"CO_MUN6","CO_MUN","SG_UF","NM_UF","CO_UF","NM_MUN","CO_RGIMED","NM_RGIMED","CO_RGINTM","NM_RGIINTM"
110001,1100015,"RO","Rondônia",11,"Alta Floresta D'Oeste",110005,"Cacoal",1102,"Ji-Paraná"
110002,1100023,"RO","Rondônia",11,"Ariquemes",110002,"Ariquemes",1101,"Porto Velho"
110003,1100031,"RO","Rondônia",11,"Cabixi",110006,"Vilhena",1102,"Ji-Paraná"
110004,1100049,"RO","Rondônia",11,"Cacoal",110005,"Cacoal",1102,"Ji-Paraná"
110005,1100056,"RO","Rondônia",11,"Cerejeiras",110006,"Vilhena",1102,"Ji-Paraná"
110006,1100064,"RO","Rondônia",11,"Colorado do Oeste",110006,"Vilhena",1102,"Ji-Paraná"
110007,1100072,"RO","Rondônia",11,"Corumbiara",110006,"Vilhena",1102,"Ji-Paraná"
110008,1100080,"RO","Rondônia",11,"Costa Marques",110004,"Ji-Paraná",1102,"Ji-Paraná"
110009,1100098,"RO","Rondônia",11,"Espigão D'Oeste",110005,"Cacoal",1102,"Ji-Paraná"
110010,1100106,"RO","Rondônia",11,"Guajará-Mirim",110001,"Porto Velho",1101,"Porto Velho"
110011,1100114,"RO","Rondônia",11,"Jaru",110003,"Jaru",1101,"Porto Velho"
110012,1100122,"RO","Rondônia",11,"Ji-Paraná",110004,"Ji-Paraná",1102,"Ji-Paraná"
110013,1100130,"RO","Rondônia",11,"Machadinho D'Oeste",110003,"Jaru",1101,"Porto Velho"
110014,1100148,"RO","Rondônia",11,"Nova Brasilândia D'Oeste",110005,"Cacoal",1102,"Ji-Paraná"
110015,1100155,"RO","Rondônia",11,"Ouro Preto do Oeste",110004,"Ji-Paraná",1102,"Ji-Paraná"
110018,1100189,"RO","Rondônia",11,"Pimenta Bueno",110005,"Cacoal",1102,"Ji-Paraná"
110020,1100205,"RO","Rondônia",11,"Porto Velho",110001,"Porto Velho",1101,"Porto Velho"
110025,1100254,"RO","Rondônia",11,"Presidente Médici",110004,"Ji-Paraná",1102,"Ji-Paraná"
110026,1100262,"RO","Rondônia",11,"Rio Crespo",110002,"Ariquemes",1101,"Porto Velho"
110028,1100288,"RO","Rondônia",11,"Rolim de Moura",110005,"Cacoal",1102,"Ji-Paraná"
110029,1100296,"RO","Rondônia",11,"Santa Luzia D'Oeste",110005,"Cacoal",1102,"Ji-Paraná"
110030,1100304,"RO","Rondônia",11,"Vilhena",110006,"Vilhena",1102,"Ji-Paraná"
110032,1100320,"RO","Rondônia",11,"São Miguel do Guaporé",110004,"Ji-Paraná",1102,"Ji-Paraná"
110033,1100338,"RO","Rondônia",11,"Nova Mamoré",110001,"Porto Velho",1101,"Porto Velho"
110034,1100346,"RO","Rondônia",11,"Alvorada D'Oeste",110004,"Ji-Paraná",1102,"Ji-Paraná"
110037,1100379,"RO","Rondônia",11,"Alto Alegre dos Parecis",110005,"Cacoal",1102,"Ji-Paraná"
110040,1100403,"RO","Rondônia",11,"Alto Paraíso",110002,"Ariquemes",1101,"Porto Velho"
110045,1100452,"RO","Rondônia",11,"Buritis",110002,"Ariquemes",1101,"Porto Velho"
110050,1100502,"RO","Rondônia",11,"Novo Horizonte do Oeste",110005,"Cacoal",1102,"Ji-Paraná"
110060,1100601,"RO","Rondônia",11,"Cacaulândia",110002,"Ariquemes",1101,"Porto Velho"
110070,1100700,"RO","Rondônia",11,"Campo Novo de Rondônia",110002,"Ariquemes",1101,"Porto Velho"
110080,1100809,"RO","Rondônia",11,"Candeias do Jamari",110001,"Porto Velho",1101,"Porto Velho"
110090,1100908,"RO","Rondônia",11,"Castanheiras",110005,"Cacoal",1102,"Ji-Paraná"
110092,1100924,"RO","Rondônia",11,"Chupinguaia",110006,"Vilhena",1102,"Ji-Paraná"
110094,1100940,"RO","Rondônia",11,"Cujubim",110002,"Ariquemes",1101,"Porto Velho"
110100,1101005,"RO","Rondônia",11,"Governador Jorge Teixeira",110003,"Jaru",1101,"Porto Velho"
110110,1101104,"RO","Rondônia",11,"Itapuã do Oeste",110001,"Porto Velho",1101,"Porto Velho"
110120,1101203,"RO","Rondônia",11,"Ministro Andreazza",110005,"Cacoal",1102,"Ji-Paraná"
110130,1101302,"RO","Rondônia",11,"Mirante da Serra",110004,"Ji-Paraná",1102,"Ji-Paraná"
110140,1101401,"RO","Rondônia",11,"Monte Negro",110002,"Ariquemes",1101,"Porto Velho"
110143,1101435,"RO","Rondônia",11,"Nova União",110004,"Ji-Paraná",1102,"Ji-Paraná"
110145,1101450,"RO","Rondônia",11,"Parecis",110005,"Cacoal",1102,"Ji-Paraná"
110146,1101468,"RO","Rondônia",11,"Pimenteiras do Oeste",110006,"Vilhena",1102,"Ji-Paraná"
110147,1101476,"RO","Rondônia",11,"Primavera de Rondônia",110005,"Cacoal",1102,"Ji-Paraná"
110148,1101484,"RO","Rondônia",11,"São Felipe D'Oeste",110005,"Cacoal",1102,"Ji-Paraná"
110149,1101492,"RO","Rondônia",11,"São Francisco do Guaporé",110004,"Ji-Paraná",1102,"Ji-Paraná"
110150,1101500,"RO","Rondônia",11,"Seringueiras",110004,"Ji-Paraná",1102,"Ji-Paraná"
110155,1101559,"RO","Rondônia",11,"Teixeirópolis",110004,"Ji-Paraná",1102,"Ji-Paraná"
